,regionID,regionName
0,10000001,Derelik
1,10000002,The Forge
2,10000003,Vale of the Silent
3,10000004,UUA-F4
4,10000005,Detorid
5,10000006,Wicked Creek
6,10000007,Cache
7,10000008,Scalding Pass
8,10000009,Insmother
9,10000010,Tribute
10,10000011,Great Wildlands
11,10000012,Curse
12,10000013,Malpais
13,10000014,Catch
14,10000015,Venal
15,10000016,Lonetrek
16,10000017,J7HZ-F
17,10000018,The Spire
18,10000019,A821-A
19,10000020,Tash-Murkon
20,10000021,Outer Passage
21,10000022,Stain
22,10000023,Pure Blind
23,10000025,Immensea
24,10000027,Etherium Reach
25,10000028,Molden Heath
26,10000029,Geminate
27,10000030,Heimatar
28,10000031,Impass
29,10000032,Sinq Laison
30,10000033,The Citadel
31,10000034,The Kalevala Expanse
32,10000035,Deklein
33,10000036,Devoid
34,10000037,Everyshore
35,10000038,The Bleak Lands
36,10000039,Esoteria
37,10000040,Oasa
38,10000041,Syndicate
39,10000042,Metropolis
40,10000043,Domain
41,10000044,Solitude
42,10000045,Tenal
43,10000046,Fade
44,10000047,Providence
45,10000048,Placid
46,10000049,Khanid
47,10000050,Querious
48,10000051,Cloud Ring
49,10000052,Kador
50,10000053,Cobalt Edge
51,10000054,Aridia
52,10000055,Branch
53,10000056,Feythabolis
54,10000057,Outer Ring
55,10000058,Fountain
56,10000059,Paragon Soul
57,10000060,Delve
58,10000061,Tenerifis
59,10000062,Omist
60,10000063,Period Basis
61,10000064,Essence
62,10000065,Kor-Azor
63,10000066,Perrigen Falls
64,10000067,Genesis
65,10000068,Verge Vendor
66,10000069,Black Rise
67,10000070,Pochven
68,10001000,Yasna Zakh
69,11000001,A-R00001
70,11000002,A-R00002
71,11000003,A-R00003
72,11000004,B-R00004
73,11000005,B-R00005
74,11000006,B-R00006
75,11000007,B-R00007
76,11000008,B-R00008
77,11000009,C-R00009
78,11000010,C-R00010
79,11000011,C-R00011
80,11000012,C-R00012
81,11000013,C-R00013
82,11000014,C-R00014
83,11000015,C-R00015
84,11000016,D-R00016
85,11000017,D-R00017
86,11000018,D-R00018
87,11000019,D-R00019
88,11000020,D-R00020
89,11000021,D-R00021
90,11000022,D-R00022
91,11000023,D-R00023
92,11000024,E-R00024
93,11000025,E-R00025
94,11000026,E-R00026
95,11000027,E-R00027
96,11000028,E-R00028
97,11000029,E-R00029
98,11000030,F-R00030
99,11000031,G-R00031
100,11000032,H-R00032
101,11000033,K-R00033
102,12000001,ADR01
103,12000002,ADR02
104,12000003,ADR03
105,12000004,ADR04
106,12000005,ADR05
107,14000001,VR-01
108,14000002,VR-02
109,14000003,VR-03
110,14000004,VR-04
111,14000005,VR-05
