,solarSystemID,solarSystemName
0,30000001,Tanoo
1,30000002,Lashesih
2,30000003,Akpivem
3,30000004,Jark
4,30000005,Sasta
5,30000006,Zaid
6,30000007,Yuzier
7,30000008,Nirbhi
8,30000009,Sooma
9,30000010,Chidah
10,30000011,Shenela
11,30000012,Asabona
12,30000013,Onsooh
13,30000014,Shamahi
14,30000015,Sendaya
15,30000016,Nazhgete
16,30000017,Futzchag
17,30000018,Kazna
18,30000019,Podion
19,30000020,Lilmad
20,30000021,Kuharah
21,30000022,Jayneleb
22,30000023,Fovihi
23,30000024,Kiereend
24,30000025,Rashy
25,30000026,Ordize
26,30000027,Psasa
27,30000028,Eshtah
28,30000029,Lachailes
29,30000030,Kasrasi
30,30000031,Mohas
31,30000032,Hasiari
32,30000033,Radima
33,30000034,Alkez
34,30000035,Nimambal
35,30000036,Yishinoon
36,30000037,Uplingur
37,30000038,Dooz
38,30000039,Bayuka
39,30000040,Uzistoon
40,30000041,Bairshir
41,30000042,Moh
42,30000043,Sari
43,30000044,Faspera
44,30000045,Jaymass
45,30000046,Mifrata
46,30000047,Majamar
47,30000048,Ihal
48,30000049,Camal
49,30000050,Fera
50,30000051,Juddi
51,30000052,Maspah
52,30000053,Ibaria
53,30000054,Shala
54,30000055,Zemalu
55,30000056,Khankenirdia
56,30000057,Nikh
57,30000058,Amphar
58,30000059,Salashayama
59,30000060,Janus
60,30000061,Agha
61,30000062,Iosantin
62,30000063,Orva
63,30000064,Zet
64,30000065,Akhrad
65,30000066,Pirohdim
66,30000067,Sharir
67,30000068,Usroh
68,30000069,Thiarer
69,30000070,Gomati
70,30000071,Jangar
71,30000072,Nakah
72,30000073,Irshah
73,30000074,Hasateem
74,30000075,Assah
75,30000076,Tidacha
76,30000077,Odlib
77,30000078,Jofan
78,30000079,Milu
79,30000080,Yadi
80,30000081,Buftiar
81,30000082,Jarizza
82,30000083,Ejahi
83,30000084,Asghatil
84,30000085,Bar
85,30000086,Sucha
86,30000087,Gelhan
87,30000088,Akeva
88,30000089,Sosa
89,30000090,Ilahed
90,30000091,Eshwil
91,30000092,Aranir
92,30000093,Ishkad
93,30000094,Hahyil
94,30000095,Asilem
95,30000096,Mahnagh
96,30000097,Shach
97,30000098,Kehrara
98,30000099,Arena
99,30000100,Timeor
100,30000101,Uhtafal
101,30000102,Dysa
102,30000103,Serad
103,30000104,Mahti
104,30000105,Abha
105,30000106,Shedoo
106,30000107,Gamis
107,30000108,Nieril
108,30000109,Berta
109,30000110,Bekirdod
110,30000111,Hothomouh
111,30000112,Arnola
112,30000113,Astabih
113,30000114,Ubtes
114,30000115,Bimener
115,30000116,Kenobanala
116,30000117,Khabi
117,30000118,Uanzin
118,30000119,Itamo
119,30000120,Mitsolen
120,30000121,Jatate
121,30000122,Mahtista
122,30000123,Vaankalen
123,30000124,Kylmabe
124,30000125,Ahtulaima
125,30000126,Geras
126,30000127,Sirseshin
127,30000128,Tuuriainas
128,30000129,Unpas
129,30000130,Shihuken
130,30000131,Nomaa
131,30000132,Ansila
132,30000133,Hirtamon
133,30000134,Hykkota
134,30000135,Outuni
135,30000136,Ohmahailen
136,30000137,Eskunen
137,30000138,Ikuchi
138,30000139,Urlen
139,30000140,Maurasi
140,30000141,Kisogo
141,30000142,Jita
142,30000143,Niyabainen
143,30000144,Perimeter
144,30000145,New Caldari
145,30000146,Saisio
146,30000147,Abagawa
147,30000148,Jakanerva
148,30000149,Gekutami
149,30000150,Hurtoken
150,30000151,Uoyonen
151,30000152,Hampinen
152,30000153,Poinen
153,30000154,Liekuri
154,30000155,Obanen
155,30000156,Josameto
156,30000157,Otela
157,30000158,Olo
158,30000159,Ikami
159,30000160,Reisen
160,30000161,Purjola
161,30000162,Maila
162,30000163,Akora
163,30000164,Messoya
164,30000165,Ishisomo
165,30000166,Airmia
166,30000167,Sakkikainen
167,30000168,Friggi
168,30000169,Ihakana
169,30000170,Vahunomi
170,30000171,Otitoh
171,30000172,Otomainen
172,30000173,Vattuolen
173,30000174,Onuse
174,30000175,Soshin
175,30000176,Keikaken
176,30000177,Ukkalen
177,30000178,Akkilen
178,30000179,Silen
179,30000180,Osmon
180,30000181,Korsiki
181,30000182,Inaya
182,30000183,Nuken
183,30000184,Uminas
184,30000185,Airaken
185,30000186,Oijanen
186,30000187,Wuos
187,30000188,Hentogaira
188,30000189,Kiainti
189,30000190,Vasala
190,30000191,Walvalin
191,30000192,Otanuomi
192,30000193,Vouskiaho
193,30000194,Otsela
194,30000195,Tasti
195,30000196,Otosela
196,30000197,Uemon
197,30000198,Paala
198,30000199,Fuskunen
199,30000200,Akkio
200,30000201,Uchoshi
201,30000202,Mastakomon
202,30000203,Eruka
203,30000204,Ohkunen
204,30000205,Obe
205,30000206,Wirashoda
206,30000207,Osaa
207,30000208,LZ-6SU
208,30000209,MC6O-F
209,30000210,U54-1L
210,30000211,B-588R
211,30000212,NCGR-Q
212,30000213,G-LOIT
213,30000214,HE-V4V
214,30000215,N-HSK0
215,30000216,05R-7A
216,30000217,7-UH4Z
217,30000218,5ZO-NZ
218,30000219,FS-RFL
219,30000220,Y0-BVN
220,30000221,X97D-W
221,30000222,0-R5TS
222,30000223,H-UCD1
223,30000224,7-K5EL
224,30000225,H-5GUI
225,30000226,FH-TTC
226,30000227,FMBR-8
227,30000228,3HX-DL
228,30000229,UH-9ZG
229,30000230,NFM-0V
230,30000231,YXIB-I
231,30000232,MY-T2P
232,30000233,FA-DMO
233,30000234,GEKJ-9
234,30000235,Q-R3GP
235,30000236,N-5QPW
236,30000237,XV-8JQ
237,30000238,WBR5-R
238,30000239,4GYV-Q
239,30000240,4-HWWF
240,30000241,YMJG-4
241,30000242,8TPX-N
242,30000243,PM-DWE
243,30000244,K8X-6B
244,30000245,X445-5
245,30000246,KRUN-N
246,30000247,9OO-LH
247,30000248,V-OJEN
248,30000249,EIDI-N
249,30000250,P3EN-E
250,30000251,49-0LI
251,30000252,IPAY-2
252,30000253,DAYP-G
253,30000254,IFJ-EL
254,30000255,47L-J4
255,30000256,Q-L07F
256,30000257,E-D0VZ
257,30000258,6WW-28
258,30000259,A8A-JN
259,30000260,S-NJBB
260,30000261,T-GCGL
261,30000262,0MV-4W
262,30000263,TVN-FM
263,30000264,V-NL3K
264,30000265,AZBR-2
265,30000266,Z-8Q65
266,30000267,0J3L-V
267,30000268,H-NOU5
268,30000269,KX-2UI
269,30000270,MO-FIF
270,30000271,97-M96
271,30000272,MA-XAP
272,30000273,C-J7CR
273,30000274,Q-EHMJ
274,30000275,XSQ-TF
275,30000276,H-1EOH
276,30000277,IR-DYY
277,30000278,C-DHON
278,30000279,F-D49D
279,30000280,MQ-O27
280,30000281,H-EY0P
281,30000282,UNAG-6
282,30000283,E-SCTX
283,30000284,S6QX-N
284,30000285,IT-YAU
285,30000286,1VK-6B
286,30000287,7-PO3P
287,30000288,1W-0KS
288,30000289,669-IX
289,30000290,0R-F2F
290,30000291,R-P7KL
291,30000292,2DWM-2
292,30000293,XF-PWO
293,30000294,1N-FJ8
294,30000295,VI2K-J
295,30000296,ZLZ-1Z
296,30000297,6Y-WRK
297,30000298,RVCZ-C
298,30000299,5T-KM3
299,30000300,LS9B-9
300,30000301,1-GBBP
301,30000302,C-FP70
302,30000303,T-ZWA1
303,30000304,ZA0L-U
304,30000305,G96R-F
305,30000306,Y-ZXIO
306,30000307,B-E3KQ
307,30000308,Y5J-EU
308,30000309,O-LR1H
309,30000310,G5ED-Y
