,groupID,groupName
1,553,Asteroid Angel Cartel Officer
2,559,Asteroid Blood Raiders Officer
3,564,Asteroid Guristas Officer
4,569,Asteroid Sansha's Nation Officer
5,574,Asteroid Serpentis Officer
6,1285,Asteroid Mordus Legion Commander Frigate
7,1286,Asteroid Mordus Legion Commander Cruiser
8,1287,Asteroid Mordus Legion Commander Battleship
9,4795,Asteroid Angel Cartel Officer Cruiser
10,4796,Asteroid Angel Cartel Officer Frigate
11,4797,Asteroid Blood Raiders Officer Cruiser
12,4798,Asteroid Blood Raiders Officer Frigate
13,4799,Asteroid Guristas Officer Cruiser
14,4800,Asteroid Guristas Officer Frigate
15,4801,Asteroid Sansha's Nation Officer Cruiser
16,4802,Asteroid Sansha's Nation Officer Frigate
17,4803,Asteroid Serpentis Officer Cruiser
18,4804,Asteroid Serpentis Officer Frigate
